City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,busselton,-33.65,115.3333,16.5,92,0,5.19,AU,1675789328
1,mehamn,71.0357,27.8492,2.97,65,40,19.03,NO,1675789601
2,massakory,12.996,15.7293,29.26,12,99,4.86,TD,1675789602
3,northam,51.0333,-4.2167,6.81,70,10,1.51,GB,1675789602
4,port hedland,-20.3167,118.5667,28.03,83,5,1.54,AU,1675789603
5,clyde river,70.4692,-68.5914,-30.72,90,100,0.79,CA,1675789603
6,beringovskiy,63.05,179.3167,-28.03,95,100,3.42,RU,1675789602
7,klaksvik,62.2266,-6.589,7.51,81,83,19.86,FO,1675789449
8,dikson,73.5069,80.5464,-28.1,95,81,6.91,RU,1675789426
9,abeokuta,7.15,3.35,33.36,41,99,3.14,NG,1675789376
10,tura,25.5198,90.2201,16.14,45,0,1.71,IN,1675789604
11,albany,42.6001,-73.9662,2.8,46,55,3.58,US,1675789388
12,tete,-16.1564,33.5867,25.93,82,92,1.47,MZ,1675789605
13,hermanus,-34.4187,19.2345,21.56,74,100,6.0,ZA,1675789506
14,ushuaia,-54.8,-68.3,11.81,54,40,5.14,AR,1675789415
15,avera,33.194,-82.5271,18.64,46,67,3.27,US,1675789605
16,atuona,-9.8,-139.0333,25.87,74,6,7.39,PF,1675789374
17,hobart,-42.8794,147.3294,13.92,68,100,3.09,AU,1675789082
18,kapaa,22.0752,-159.319,24.18,92,100,5.14,US,1675789494
19,mataura,-46.1927,168.8643,10.27,66,79,2.86,NZ,1675789352
20,anisoc,1.8658,10.7689,24.07,86,65,1.5,GQ,1675789606
21,vaini,-21.2,-175.2,24.09,100,100,3.09,TO,1675789559
22,lavrentiya,65.5833,-171.0,-25.38,91,100,1.82,RU,1675789607
23,saint george,37.1041,-113.5841,7.36,61,0,2.57,US,1675789321
24,weligama,5.9667,80.4167,24.59,89,19,1.01,LK,1675789608
25,sioux lookout,50.1001,-91.917,-10.35,86,100,4.68,CA,1675789608
26,saskylakh,71.9167,114.0833,-35.02,100,100,1.01,RU,1675789482
27,nakusp,50.2499,-117.8023,3.6,87,100,2.06,CA,1675789398
28,jamestown,42.097,-79.2353,8.34,50,20,8.75,US,1675789526
29,lincoln,40.8,-96.667,6.27,51,0,3.09,US,1675789429
30,bethel,41.3712,-73.414,4.54,36,0,3.09,US,1675789609
31,port elizabeth,-33.918,25.5701,22.4,89,88,1.79,ZA,1675789610
32,barrow,71.2906,-156.7887,-23.99,77,100,4.63,US,1675789487
33,villarrica,-25.75,-56.4333,39.76,17,44,1.68,PY,1675789610
34,victoria,22.2855,114.1577,21.03,91,49,4.92,HK,1675789027
35,cape town,-33.9258,18.4232,22.23,78,20,9.26,ZA,1675789537
36,punta arenas,-53.15,-70.9167,15.06,51,40,4.12,CL,1675789611
37,bubaque,11.2833,-15.8333,24.6,64,38,6.62,GW,1675789611
38,gazanjyk,39.2446,55.5154,11.12,49,90,1.94,TM,1675789612
39,east london,-33.0153,27.9116,23.47,88,99,5.93,ZA,1675789612
40,nandu,22.8525,110.8233,17.98,96,100,1.52,CN,1675789549
41,qaanaaq,77.484,-69.3632,-30.22,69,98,3.13,GL,1675789436
42,radcliff,37.8404,-85.9491,15.93,51,100,7.2,US,1675789613
43,sambava,-14.2667,50.1667,24.89,88,100,3.02,MG,1675789614
44,jibuti,11.5,42.5,22.36,61,13,5.03,DJ,1675789614
45,bluff,-46.6,168.3333,10.45,77,84,12.29,NZ,1675789338
46,newtownards,54.5924,-5.6909,9.18,86,100,3.6,GB,1675789615
47,salisbury,51.0693,-1.7957,7.23,69,0,1.54,GB,1675789615
48,grand gaube,-20.0064,57.6608,26.88,76,24,3.13,MU,1675789616
49,kumluca,36.3703,30.2869,6.28,51,47,4.97,TR,1675789617
50,saint anthony,45.0205,-93.218,0.37,72,0,5.66,US,1675789618
51,chuy,-33.6971,-53.4616,29.56,41,3,4.01,UY,1675789618
52,butaritari,3.0707,172.7902,27.3,80,100,10.18,KI,1675789546
53,saint-francois,46.4154,3.9054,6.69,54,0,2.57,FR,1675789619
54,kavieng,-2.5744,150.7967,26.42,82,100,2.07,PG,1675789620
55,bredasdorp,-34.5322,20.0403,21.57,67,100,5.07,ZA,1675789429
56,cherskiy,68.75,161.3,-35.75,98,100,2.26,RU,1675789620
57,cherepanovo,54.2222,83.381,-14.69,97,98,2.48,RU,1675789621
58,conceicao do araguaia,-8.2578,-49.2647,32.14,56,74,0.58,BR,1675789621
59,ribeira grande,38.5167,-28.7,14.32,54,75,8.23,PT,1675789622
60,alyangula,-13.8483,136.4192,28.11,70,95,2.97,AU,1675789625
61,new norfolk,-42.7826,147.0587,13.72,90,42,1.09,AU,1675789497
62,rikitea,-23.1203,-134.9692,26.04,73,44,5.38,PF,1675789362
63,carnarvon,-24.8667,113.6333,24.79,71,3,9.7,AU,1675789635
64,port alfred,-33.5906,26.891,22.32,89,89,1.79,ZA,1675789637
65,black diamond,47.3087,-122.0032,8.58,87,100,1.34,US,1675789640
66,caravelas,-17.7125,-39.2481,30.83,53,52,5.71,BR,1675789642
67,tual,-5.6667,132.75,27.05,81,100,8.62,ID,1675789644
68,vanavara,60.34,102.2797,-29.63,100,98,1.01,RU,1675789654
69,chapais,49.7834,-74.8492,-6.48,73,100,7.3,CA,1675789655
70,asfi,32.2994,-9.2372,15.16,70,3,4.88,MA,1675789565
71,mangrol,21.1167,70.1167,21.65,78,7,2.61,IN,1675789657
72,fort wellington,6.4,-57.6,26.95,76,46,4.37,GY,1675789658
73,tabou,4.423,-7.3528,28.21,74,89,4.62,CI,1675789658
74,salalah,17.0151,54.0924,25.05,57,0,1.54,OM,1675789658
75,kodiak,57.79,-152.4072,-2.27,69,0,4.63,US,1675789386
76,aklavik,68.2191,-135.0107,-31.0,76,100,2.06,CA,1675789427
77,hamilton,39.1834,-84.5333,14.69,47,100,6.17,US,1675789565
78,jutai,-5.1833,-68.9,27.19,88,68,0.98,BR,1675789659
79,batemans bay,-35.7167,150.1833,19.5,92,100,1.99,AU,1675789626
80,iqaluit,63.7506,-68.5145,-32.95,67,40,2.57,CA,1675789599
81,kamaishi,39.2667,141.8833,2.46,98,100,3.64,JP,1675789660
82,saint-joseph,-21.3667,55.6167,27.21,82,63,6.22,RE,1675789661
83,kamakwie,9.5,-12.2333,36.7,21,70,1.53,SL,1675789662
84,biltine,14.5333,20.9167,28.13,12,20,5.35,TD,1675789662
85,kungurtug,50.5994,97.5228,-23.96,98,56,0.9,RU,1675789663
86,grindavik,63.8424,-22.4338,-2.03,93,75,13.38,IS,1675789664
87,mar del plata,-38.0023,-57.5575,24.37,81,34,5.36,AR,1675789665
88,bluffton,32.2371,-80.8604,21.12,58,0,1.54,US,1675789505
89,ambovombe,-25.1667,46.0833,23.23,88,100,2.22,MG,1675789560
90,puerto ayora,-0.7393,-90.3518,29.98,88,25,4.47,EC,1675789449
91,padang,-0.9492,100.3543,24.62,78,100,2.0,ID,1675789666
92,kikwit,-5.041,18.8162,23.46,79,65,2.03,CD,1675789667
93,tuktoyaktuk,69.4541,-133.0374,-34.0,68,100,0.0,CA,1675789380
94,guerrero negro,27.9769,-114.0611,17.0,28,6,3.42,MX,1675789667
95,sao lourenco da serra,-23.8525,-46.9425,27.22,90,99,1.85,BR,1675789406
96,port hardy,50.6996,-127.4199,5.1,93,75,1.03,CA,1675789668
97,dubbo,-32.25,148.6167,22.07,64,1,5.14,AU,1675789649
98,dingle,10.9995,122.6711,23.25,92,100,3.47,PH,1675789669
99,tuatapere,-46.1333,167.6833,10.31,86,87,4.85,NZ,1675789584
100,castro,-24.7911,-50.0119,26.01,53,65,1.25,BR,1675789383
101,provideniya,64.3833,-173.3,-26.29,93,74,1.54,RU,1675789551
102,lakes entrance,-37.8811,147.981,14.53,89,17,1.29,AU,1675789670
103,whitehorse,60.7161,-135.0538,-12.17,96,63,2.91,CA,1675789671
104,saldanha,-33.0117,17.9442,18.91,88,100,10.68,ZA,1675789671
105,hilo,19.7297,-155.09,22.93,89,75,3.09,US,1675789672
106,saint-philippe,-21.3585,55.7679,27.77,84,62,6.0,RE,1675789438
107,elizabeth city,36.2946,-76.2511,12.25,63,0,2.57,US,1675789672
108,alofi,-19.0595,-169.9187,23.94,100,100,2.06,NU,1675789661
109,ancud,-41.8697,-73.8203,17.48,68,2,3.28,CL,1675789559
110,hithadhoo,-0.6,73.0833,27.74,67,100,3.96,MV,1675789673
111,verkhoyansk,67.5447,133.385,-47.64,100,91,0.53,RU,1675789673
112,thompson,55.7435,-97.8558,-20.54,93,88,1.77,CA,1675789610
113,pangkalanbuun,-2.6833,111.6167,23.85,90,100,1.03,ID,1675789674
114,dossor,47.5272,52.9811,-3.87,92,100,9.63,KZ,1675789616
115,pundaguitan,6.3711,126.1689,26.76,75,100,7.69,PH,1675789674
116,rincon,32.296,-81.2354,21.06,47,75,4.63,US,1675789361
117,bengkulu,-3.8004,102.2655,24.94,86,96,3.66,ID,1675789559
118,pangai,-19.8,-174.35,26.56,78,100,8.03,TO,1675789675
119,zhigansk,66.7697,123.3711,-46.57,100,94,1.13,RU,1675789676
120,khatanga,71.9667,102.5,-43.62,100,70,0.79,RU,1675789676
121,barcelos,41.5388,-8.6151,14.4,58,0,1.97,PT,1675789626
122,souillac,-20.5167,57.5167,27.21,74,40,5.66,MU,1675789534
123,antalaha,-14.9003,50.2788,24.4,90,100,3.15,MG,1675789677
124,kyshtovka,56.555,76.6271,-18.59,100,98,1.72,RU,1675789677
125,erenhot,43.6475,111.9767,-9.8,75,2,2.54,CN,1675789678
126,andenes,69.3143,16.1194,4.99,60,75,14.4,NO,1675789678
127,palmer,42.1584,-72.3287,3.61,31,29,0.89,US,1675789659
128,pevek,69.7008,170.3133,-31.11,98,100,1.15,RU,1675789601
129,san patricio,28.017,-97.5169,25.97,75,100,8.21,US,1675789679
130,lebu,-37.6167,-73.65,18.45,65,0,8.18,CL,1675789557
131,solnechnyy,50.7214,136.6319,-21.44,99,100,1.89,RU,1675789680
132,bilopillya,51.1502,34.3129,-8.34,92,22,3.95,UA,1675789680
133,lingao,19.9103,109.6859,21.5,91,11,6.06,CN,1675789680
134,guarda,40.5373,-7.2658,7.91,57,9,2.57,PT,1675789569
135,birao,10.2849,22.7882,29.22,10,25,3.01,CF,1675789682
136,marovoay,-16.1,46.6333,25.12,89,100,1.58,MG,1675789683
137,coihaique,-45.5752,-72.0662,23.34,46,40,4.12,CL,1675789418
138,arman,59.7,150.1667,-30.1,83,84,3.83,RU,1675789685
139,sabinas,27.85,-101.1167,21.54,61,48,5.32,MX,1675789687
140,dhidhdhoo,6.8833,73.1,27.07,71,75,4.45,MV,1675789689
141,haines junction,60.7522,-137.5108,-9.05,97,100,0.24,CA,1675789691
142,avarua,-21.2078,-159.775,26.03,89,75,2.06,CK,1675789433
143,palembang,-2.9167,104.7458,24.05,88,40,1.03,ID,1675789695
144,lompoc,34.6391,-120.4579,15.43,68,0,2.14,US,1675789636
145,milazzo,38.2212,15.2383,9.02,53,24,1.79,IT,1675789705
146,saint-georges,12.0564,-61.7485,25.55,77,99,6.23,GD,1675789709
147,constitucion,-35.3333,-72.4167,21.93,53,3,2.02,CL,1675789433
148,severo-kurilsk,50.6789,156.125,-5.26,67,80,6.15,RU,1675789438
149,vila franca do campo,37.7167,-25.4333,13.23,76,79,7.04,PT,1675789714
150,tasiilaq,65.6145,-37.6368,-15.91,58,51,6.35,GL,1675789715
151,mana,5.6592,-53.7767,27.23,77,71,4.93,GF,1675789716
152,kaitangata,-46.2817,169.8464,12.09,59,19,3.97,NZ,1675789717
153,tsuruga,35.6455,136.0558,5.35,87,56,1.6,JP,1675789717
154,zabaykalsk,49.6333,117.3167,-19.65,98,60,3.78,RU,1675789717
155,ukiah,39.1502,-123.2078,10.91,95,0,0.0,US,1675789718
156,tiksi,71.6872,128.8694,-32.22,99,100,1.65,RU,1675789492
157,vigrestad,58.5667,5.7,6.99,93,100,1.71,NO,1675789718
158,lyantonde,-0.4031,31.1572,21.42,62,75,1.86,UG,1675789719
159,maumere,-8.6199,122.2111,26.59,84,99,5.03,ID,1675789719
160,araouane,18.9048,-3.5265,30.58,8,39,4.13,ML,1675789640
161,abeche,13.8292,20.8324,28.27,12,20,4.91,TD,1675789720
162,tahoua,14.8888,5.2692,31.45,9,100,5.36,NE,1675789721
163,makakilo city,21.3469,-158.0858,23.18,76,0,6.69,US,1675789722
164,jabinyanah,35.035,10.9081,12.85,66,7,5.75,TN,1675789722
165,kashan,33.9831,51.4364,10.44,43,1,0.61,IR,1675789653
166,kruisfontein,-34.0033,24.7314,20.44,75,99,5.35,ZA,1675789598
167,tobermory,45.2501,-81.6665,3.42,88,100,13.49,CA,1675789723
168,impfondo,1.6381,18.0667,30.91,27,90,1.16,CG,1675789724
169,arraial do cabo,-22.9661,-42.0278,29.92,70,40,3.09,BR,1675789724
170,bata,1.8639,9.7658,27.59,75,45,4.3,GQ,1675789724
171,ust-ishim,57.6935,71.1665,-20.1,100,97,1.97,RU,1675789725
172,yellowknife,62.456,-114.3525,-18.71,78,100,3.09,CA,1675789522
173,norman wells,65.282,-126.8329,-22.16,99,99,0.66,CA,1675789726
174,khani,41.9563,42.9566,-1.24,98,100,1.99,GE,1675789726
175,severnyy,50.677,36.5532,-9.98,78,0,5.0,RU,1675789727
176,roma,43.2128,-75.4557,5.96,56,0,5.66,US,1675789727
177,cayenne,4.9333,-52.3333,30.02,66,75,7.2,GF,1675789728
178,tokur,53.1333,132.9,-37.29,100,100,0.8,RU,1675789728
179,isangel,-19.55,169.2667,25.75,86,100,1.86,VU,1675789728
180,muravlenko,63.7898,74.523,-25.86,100,41,3.9,RU,1675789729
181,gorontalo,0.5412,123.0595,23.56,94,100,2.53,ID,1675789729
182,faanui,-16.4833,-151.75,26.64,78,28,5.48,PF,1675789730
183,belaya gora,68.5333,146.4167,-41.61,100,99,0.56,RU,1675789730
184,sunam,30.1333,75.8,12.83,36,0,2.62,IN,1675789731
185,yulara,-25.2406,130.9889,27.3,23,0,3.62,AU,1675789731
186,beloha,-25.1667,45.05,23.94,74,100,4.34,MG,1675789659
187,san jose,37.3394,-121.895,12.83,72,40,0.89,US,1675789488
188,nouadhibou,20.931,-17.0347,18.28,63,0,8.92,MR,1675789732
189,nikolayevsk-na-amure,53.1406,140.73,-22.62,98,100,1.44,RU,1675789732
190,lamu,-2.2717,40.902,24.94,86,35,5.89,KE,1675789733
191,raudeberg,61.9875,5.1352,4.93,66,81,8.29,NO,1675789733
192,guatire,10.4762,-66.5427,29.0,67,97,2.85,VE,1675789733
193,los llanos de aridane,28.6585,-17.9182,16.86,71,75,6.69,ES,1675789734
194,kysyl-syr,63.8986,122.7617,-43.57,100,100,0.34,RU,1675789734
195,amuntai,-2.4177,115.2494,23.71,95,100,1.23,ID,1675789735
196,cairns,-16.9167,145.7667,26.97,87,93,2.57,AU,1675789722
197,wesselsbron,-27.8549,26.3658,23.92,52,100,4.78,ZA,1675789736
198,savalou,7.9281,1.9756,36.34,24,99,2.6,BJ,1675789736
199,esperance,-33.8667,121.9,19.2,82,25,4.59,AU,1675789737
200,luderitz,-26.6481,15.1594,22.82,66,0,12.59,NA,1675789737
201,boyolangu,-8.1181,111.8935,23.49,93,100,1.17,ID,1675789738
202,havre-saint-pierre,50.2334,-63.5986,-13.52,72,36,1.74,CA,1675789738
203,lysva,58.1086,57.8053,-24.94,100,73,0.51,RU,1675789739
204,sabha,27.0377,14.4283,17.24,28,97,4.43,LY,1675789739
205,tonantins,-2.8731,-67.8022,28.45,80,54,0.66,BR,1675789739
206,fare,-16.7,-151.0167,26.58,78,23,4.99,PF,1675789740
207,nyurba,63.2842,118.3319,-39.52,100,100,0.57,RU,1675789740
208,georgetown,5.4112,100.3354,23.98,86,98,3.56,MY,1675789683
209,puerto leguizamo,-0.1934,-74.7819,32.79,41,25,2.31,CO,1675789741
210,new castle,41.0037,-80.347,10.5,51,100,2.57,US,1675789741
211,yenotayevka,47.2456,47.0281,-5.25,92,100,11.62,RU,1675789744
212,gamboma,-1.8764,15.8644,27.45,57,76,3.15,CG,1675789745
213,gurgentepe,40.7883,37.6017,-5.06,97,100,1.96,TR,1675789747
214,puerto del rosario,28.5004,-13.8627,19.86,49,20,5.14,ES,1675789750
215,nikolskoye,59.7035,30.7861,-2.06,92,89,4.0,RU,1675789637
216,tanout,14.9709,8.8879,27.16,9,100,5.02,NE,1675789757
217,doume,4.2333,13.45,29.1,19,5,0.99,CM,1675789762
218,contamana,-7.3333,-75.0167,30.2,59,72,2.4,PE,1675789763
219,fort nelson,58.8053,-122.7002,-14.47,93,4,0.89,CA,1675789765
220,vuktyl,63.8567,57.3094,-15.1,94,100,4.9,RU,1675789769
221,craig,40.5153,-107.5464,-4.21,92,100,1.54,US,1675789773
222,viedma,-40.8135,-62.9967,33.55,21,0,2.29,AR,1675789774
223,lewisporte,49.2499,-55.0482,-8.58,60,56,4.33,CA,1675789775
224,rawson,-43.3002,-65.1023,27.71,29,31,5.07,AR,1675789776
225,copala,16.65,-98.9833,29.06,50,0,2.27,MX,1675789777
226,raymondville,26.4815,-97.7831,26.0,54,82,11.54,US,1675789777
227,nhulunbuy,-12.2333,136.7667,27.34,89,100,0.0,AU,1675789778
228,colares,38.7992,-9.4469,14.86,55,20,8.05,PT,1675789778
229,paita,-5.0892,-81.1144,27.68,62,14,4.87,PE,1675789779
